attn_num,token_num,loss,accuracy
0,0,6.536230468750001,0.1930273324251175
0,1,7.618825340270996,0.10552734136581421
0,2,7.972572898864746,0.06780599802732468
1,0,8.487140909830728,0.025084635242819786
1,1,8.583692264556884,0.020325522869825363
1,2,8.626204713185627,0.018515627831220627
2,0,8.850847752888999,0.012421875260770321
2,1,8.863347816467288,0.01097005233168602
2,2,8.842106437683102,0.011712239123880863
3,0,8.95364948908488,0.008802085183560848
3,1,8.933327166239422,0.009550781920552254
3,2,8.91679655710856,0.009921876713633537
4,0,9.706278133392333,0.0009960937313735485
4,1,9.738504886627197,0.0004947916022501886
4,2,9.744141292572023,0.0012434895616024733
5,0,10.06782309214274,0.0003515624557621777
5,1,10.036138502756755,0.00029947914299555123
5,2,10.132401371002198,0.00025390624068677425
6,0,10.376805750528971,0.00011718751193257049
6,1,10.40139528910319,0.00016276042151730508
6,2,10.356750011444088,0.0001367187505820766
7,0,10.623373413085938,0.00014322917559184134
7,1,10.614594650268554,0.0001302083401242271
7,2,10.668638038635255,0.00007812500552972779
8,0,11.080450725555421,0.00007812500552972779
8,1,11.033387470245358,0.00015625001105945557
8,2,11.106753412882487,0.0001236979296663776
9,0,11.243103631337485,0.00007812500552972779
9,1,11.280840301513672,6.510417279059766e-6
9,2,11.21359567642212,0.00007161458779592067
10,0,11.255805333455402,0.00003255208503105678
10,1,11.293210029602053,0.00006510417006211355
10,2,11.332561079661053,0.000026041669116239063
11,0,11.389895470937093,0.000013020834558119532
11,1,11.442187976837163,0.000013020834558119532
11,2,11.454441356658934,0.00006510417006211355
12,0,11.438767337799069,0.00003255208503105678
12,1,11.373847548166912,0.000026041669116239063
12,2,11.412184556325276,0.000019531251382431947
13,0,11.548432223002116,0.000013020834558119532
13,1,11.599565696716306,0.00004557292049867101
13,2,11.567452780405679,0.000019531251382431947
14,0,11.593076165517173,0.000019531251382431947
14,1,11.642871952056888,0.0
14,2,11.681653499603271,0.000019531251382431947
15,0,11.57425724665324,0.00004557292049867101
15,1,11.59012212753296,0.000013020834558119532
15,2,11.633778985341392,6.510417279059766e-6
16,0,11.406837081909181,0.000013020834558119532
16,1,11.369153118133545,0.000013020834558119532
16,2,11.359212684631345,6.510417279059766e-6
17,0,11.308226966857909,0.000013020834558119532
17,1,11.25483481089274,6.510417279059766e-6
17,2,11.385271676381432,0.000019531251382431947
18,0,11.177298227945963,6.510417279059766e-6
18,1,11.062385972340902,0.00003255208503105678
18,2,11.146498203277584,6.510417279059766e-6
19,0,11.138324324289957,0.00003255208503105678
19,1,11.080333518981933,6.510417279059766e-6
19,2,11.003976631164548,0.000019531251382431947
20,0,10.923611927032471,0.00004557292049867101
20,1,10.967581049601236,0.000019531251382431947
20,2,10.937801392873128,0.00003255208503105678
21,0,10.602167320251462,0.00003255208503105678
21,1,10.639099248250325,6.510417279059766e-6
21,2,10.59416821797689,0.000058593755966285244
22,0,10.451400883992516,0.000058593755966285244
22,1,10.537328497568765,0.000039062502764863893
22,2,10.472853978474934,0.000019531251382431947
23,0,10.266755072275798,0.0000846354232635349
23,1,10.22332312266032,0.00005208333823247813
23,2,10.22350311279297,0.00003255208503105678
24,0,10.35662514368693,0.000039062502764863893
24,1,10.443234888712565,0.000013020834558119532
24,2,10.36334606806437,0.000039062502764863893
25,0,10.110110791524251,0.00005208333823247813
25,1,10.128770923614502,0.00005208333823247813
25,2,10.071161047617597,0.00010416667646495625
26,0,9.906426239013673,0.00010416667646495625
26,1,9.936138693491616,0.0001236979296663776
26,2,9.90528875986735,0.00007812500552972779
27,0,9.842444578806559,0.00007161458779592067
27,1,9.758010323842367,0.0001692708465270698
27,2,9.794835821787512,0.00015624999650754035
28,0,9.800502427419026,0.00011718751193257049
28,1,9.728933270772298,0.0001757812569849193
28,2,9.737131341298422,0.00039713538717478514
29,0,9.647226238250733,0.00016927083197515458
29,1,9.648802502950033,0.00022135414474178106
29,2,9.629160149892169,0.00017578122788108885
30,0,9.54748284022013,0.0002343749802093953
30,1,9.58046979904175,0.00020182289881631732
30,2,9.586511294047039,0.00035156248486600816
31,0,9.504071362813313,0.0007291666115634143
31,1,9.463833808898922,0.0004296874685678631
31,2,9.494706026713054,0.00025390624068677425
32,0,9.444269371032716,0.0003971354162786156
32,1,9.422298844655353,0.0007812498952262104
32,2,9.409631697336831,0.0010221352567896247
33,0,9.307055727640787,0.001809895969927311
33,1,9.356096426645918,0.0007421874324791133
33,2,9.368303394317627,0.0009635417954996228
34,0,9.340368684132894,0.0009830729104578495
34,1,9.277116966247558,0.002194010652601719
34,2,9.247622744242351,0.0023502602707594633
